Alimento,Gramos
"Chicken leg, drumstick and thigh, grilled without sauce, skin not eaten",135.0
"Chicken leg, drumstick and thigh, grilled with sauce, skin eaten",135.0
"Chicken leg, drumstick and thigh, grilled with sauce, skin not eaten",135.0
"Chicken leg, drumstick and thigh, sauteed, skin eaten",135.0
"Chicken leg, drumstick and thigh, sauteed, skin not eaten",135.0
"Chicken leg, drumstick and thigh, fried, coated, skin / coating eaten",135.0
"Chicken leg, drumstick and thigh, fried, coated, skin / coating not eaten",135.0
"Chicken leg, drumstick and thigh, baked, coated, skin / coating eaten",135.0
"Chicken leg, drumstick and thigh, baked, coated, skin / coating not eaten",135.0
"Chicken drumstick, NS as to cooking method, skin eaten",135.0
"Chicken drumstick, NS as to cooking method, skin not eaten",135.0
"Chicken drumstick, baked, broiled, or roasted, skin eaten, from raw",135.0
"Chicken drumstick, baked, broiled, or roasted, skin not eaten, from raw",135.0
"Chicken drumstick, baked or broiled, skin eaten, from pre-cooked",135.0
"Chicken drumstick, baked or broiled, skin not eaten, from pre-cooked",135.0
"Chicken drumstick, baked or broiled, skin eaten, from fast food / restaurant",135.0
"Chicken drumstick, baked or broiled, skin not eaten, from fast food / restaurant",135.0
"Chicken drumstick, rotisserie, skin eaten",135.0
"Chicken drumstick, rotisserie, skin not eaten",135.0
"Chicken drumstick, grilled without sauce, skin eaten",135.0
"Chicken drumstick, grilled without sauce, skin not eaten",135.0
"Chicken drumstick, grilled with sauce, skin eaten",135.0
"Chicken drumstick, grilled with sauce, skin not eaten",135.0
"Chicken drumstick, stewed, skin eaten",135.0
"Chicken drumstick, stewed, skin not eaten",135.0
