Alimento,Grupo,Porción,Gramos,precio100g,Precio,kcal_por_g,"Calcium, Ca",Retinol,Lycopene,MUFA 20:1,PUFA 20:5 n-3 (EPA),SFA 14:0,Total Sugars,"Carotene, beta",Total lipid (fat),Thiamin,"Vitamin B-12, added",PUFA 18:3,PUFA 18:2,"Phosphorus, P",Energy,Folic acid,Vitamin E (alpha-tocopherol),Vitamin B-6,Niacin,"Folate, DFE","Cryptoxanthin, beta","Fatty acids, total saturated",SFA 8:0,"Zinc, Zn","Magnesium, Mg","Folate, food",SFA 12:0,SFA 16:0,"Alcohol, ethyl","Fatty acids, total monounsaturated","Copper, Cu",PUFA 20:4,"Choline, total","Carbohydrate, by difference",Riboflavin,"Carotene, alpha",Vitamin K (phylloquinone),Cholesterol,Vitamin B-12,Caffeine,SFA 6:0,PUFA 22:6 n-3 (DHA),Protein,PUFA 18:4,"Fiber, total dietary",MUFA 16:1,"Fatty acids, total polyunsaturated",PUFA 22:5 n-3 (DPA),Lutein + zeaxanthin,Vitamin D (D2 + D3),"Potassium, K","Iron, Fe",SFA 10:0,Water,MUFA 22:1,"Selenium, Se","Vitamin A, RAE","Vitamin E, added","Folate, total","Sodium, Na","Vitamin C, total ascorbic acid",Theobromine,SFA 18:0,MUFA 18:1,SFA 4:0
"Coffee, Latte, nonfat",Café,1 fl oz,30.8,10.0,2.96,0.974025974025974,110.0,53.0,0.0,0.0,0.0,0.007,4.2,2.0,0.1,0.042,0.0,0.0,0.02,90.0,30.0,0.0,0.0,0.044,0.978,2.0,0.0,0.056,0.001,0.38,23.0,2.0,0.002,0.025,0.0,0.014,0.01,0.0,14.1,4.37,0.139,0.0,0.0,2.0,0.39,36.0,0.001,0.0,2.87,0.0,0.0,0.001,0.021,0.0,0.0,0.9,158.0,0.02,0.002,91.98,0.0,1.7,53.0,0.0,2.0,36.0,0.0,0.0,0.007,0.015,0.002
"Coffee, Latte, with non-dairy milk",Café,1 fl oz,30.8,10.0,3.05,0.9090909090909091,128.0,29.0,0.0,0.007,0.0,0.002,1.69,0.0,1.36,0.014,0.31,0.052,0.387,30.0,28.0,0.0,1.72,0.01,0.96,4.0,0.0,0.148,0.0,0.17,22.0,4.0,0.0,0.102,0.0,0.65,0.041,0.0,6.1,2.81,0.061,0.0,0.7,0.0,0.31,36.0,0.0,0.0,0.97,0.0,0.1,0.004,0.439,0.0,3.0,0.8,63.0,0.29,0.0,94.43,0.0,0.6,29.0,1.64,4.0,44.0,0.0,0.0,0.027,0.638,0.002
"Coffee, Latte, flavored",Café,1 fl oz,30.8,10.0,3.08,1.7857142857142856,102.0,67.0,0.0,0.002,0.0,0.145,7.22,2.0,1.57,0.043,0.0,0.006,0.064,84.0,55.0,0.0,0.03,0.044,0.941,2.0,0.0,0.907,0.017,0.35,23.0,2.0,0.047,0.419,0.0,0.321,0.009,0.002,13.6,7.49,0.14,0.0,0.2,6.0,0.35,35.0,0.026,0.0,2.72,0.0,0.0,0.023,0.062,0.001,0.0,0.9,147.0,0.02,0.039,87.59,0.0,1.5,67.0,0.0,2.0,34.0,0.2,0.0,0.148,0.33,0.033
"Coffee, Latte, nonfat, flavored",Café,1 fl oz,30.8,10.0,3.05,1.3636363636363635,106.0,51.0,0.0,0.0,0.0,0.006,7.35,2.0,0.1,0.041,0.0,0.0,0.019,87.0,42.0,0.0,0.0,0.042,0.946,2.0,0.0,0.054,0.001,0.37,23.0,2.0,0.002,0.024,0.0,0.014,0.01,0.0,13.6,7.51,0.135,0.0,0.0,2.0,0.37,35.0,0.001,0.0,2.78,0.0,0.0,0.001,0.02,0.0,0.0,0.9,153.0,0.02,0.002,88.95,0.0,1.6,51.0,0.0,2.0,35.0,0.0,0.0,0.007,0.014,0.002
"Coffee, Latte, with non-dairy milk, flavored",Café,1 fl oz,30.8,10.0,3.09,1.2987012987012987,123.0,29.0,0.0,0.007,0.0,0.002,4.91,0.0,1.33,0.014,0.3,0.051,0.374,29.0,40.0,0.0,1.67,0.01,0.929,4.0,0.0,0.143,0.0,0.17,21.0,4.0,0.0,0.098,0.0,0.629,0.04,0.0,5.9,5.99,0.06,0.0,0.7,0.0,0.3,35.0,0.0,0.0,0.94,0.0,0.1,0.004,0.424,0.0,3.0,0.8,61.0,0.28,0.0,91.33,0.0,0.6,29.0,1.58,4.0,43.0,0.0,0.0,0.027,0.617,0.002
"Coffee, Latte, decaffeinated",Café,1 fl oz,30.8,10.0,3.11,1.396103896103896,106.0,69.0,0.0,0.002,0.0,0.151,4.09,3.0,1.62,0.045,0.0,0.006,0.066,87.0,43.0,0.0,0.02,0.046,0.95,2.0,0.0,0.943,0.018,0.37,23.0,2.0,0.048,0.435,0.0,0.334,0.009,0.003,13.9,4.37,0.144,0.0,0.2,7.0,0.37,0.0,0.027,0.0,2.82,0.0,0.0,0.024,0.064,0.001,0.0,0.9,152.0,0.02,0.041,90.53,0.0,1.5,69.0,0.0,2.0,35.0,0.2,0.0,0.154,0.343,0.034
"Coffee, Latte, decaffeinated, nonfat",Café,1 fl oz,30.8,10.0,2.93,0.974025974025974,111.0,53.0,0.0,0.0,0.0,0.007,4.22,2.0,0.1,0.042,0.0,0.0,0.019,91.0,30.0,0.0,0.0,0.044,0.955,2.0,0.0,0.056,0.001,0.38,23.0,2.0,0.002,0.025,0.0,0.014,0.01,0.0,13.9,4.39,0.139,0.0,0.0,3.0,0.39,0.0,0.001,0.0,2.88,0.0,0.0,0.001,0.02,0.0,0.0,0.9,158.0,0.02,0.002,91.95,0.0,1.7,53.0,0.0,2.0,37.0,0.0,0.0,0.008,0.015,0.003
"Coffee, Latte, decaffeinated, with non-dairy milk",Café,1 fl oz,30.8,10.0,3.07,0.9090909090909091,128.0,30.0,0.0,0.008,0.0,0.002,1.7,0.0,1.37,0.014,0.31,0.053,0.389,31.0,28.0,0.0,1.73,0.01,0.937,4.0,0.0,0.148,0.0,0.18,21.0,4.0,0.0,0.102,0.0,0.654,0.041,0.0,5.8,2.82,0.061,0.0,0.8,0.0,0.31,0.0,0.0,0.0,0.97,0.0,0.1,0.004,0.441,0.0,3.0,0.8,63.0,0.29,0.0,94.41,0.0,0.6,30.0,1.64,4.0,45.0,0.0,0.0,0.028,0.641,0.002
"Coffee, Latte, decaffeinated, flavored",Café,1 fl oz,30.8,10.0,3.22,1.7857142857142856,102.0,67.0,0.0,0.002,0.0,0.146,7.26,2.0,1.57,0.043,0.0,0.006,0.064,84.0,55.0,0.0,0.02,0.045,0.918,2.0,0.0,0.911,0.017,0.36,22.0,2.0,0.047,0.421,0.0,0.323,0.009,0.002,13.4,7.53,0.139,0.0,0.2,6.0,0.36,0.0,0.026,0.0,2.73,0.0,0.0,0.023,0.061,0.001,0.0,0.9,147.0,0.02,0.04,87.53,0.0,1.5,67.0,0.0,2.0,34.0,0.2,0.0,0.149,0.331,0.033
"Coffee, Latte, decaffeinated, nonfat, flavored",Café,1 fl oz,30.8,10.0,3.09,1.3636363636363635,107.0,52.0,0.0,0.0,0.0,0.006,7.38,2.0,0.1,0.041,0.0,0.0,0.019,88.0,42.0,0.0,0.0,0.042,0.923,2.0,0.0,0.054,0.001,0.37,22.0,2.0,0.002,0.024,0.0,0.014,0.01,0.0,13.4,7.54,0.135,0.0,0.0,2.0,0.38,0.0,0.001,0.0,2.79,0.0,0.0,0.001,0.019,0.0,0.0,0.9,153.0,0.02,0.002,88.91,0.0,1.6,52.0,0.0,2.0,35.0,0.0,0.0,0.007,0.015,0.002
"Coffee, Latte, decaffeinated, with non-dairy milk, flavored",Café,1 fl oz,30.8,10.0,3.13,1.2987012987012987,124.0,29.0,0.0,0.007,0.0,0.002,4.94,0.0,1.33,0.014,0.3,0.051,0.376,30.0,40.0,0.0,1.68,0.01,0.906,4.0,0.0,0.143,0.0,0.17,21.0,4.0,0.0,0.099,0.0,0.632,0.04,0.0,5.6,6.01,0.059,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.94,0.0,0.1,0.004,0.426,0.0,3.0,0.8,61.0,0.28,0.0,91.29,0.0,0.6,29.0,1.59,4.0,43.0,0.0,0.0,0.027,0.62,0.002
Frozen coffee drink,Café,1 fl oz,30.8,10.0,3.02,2.207792207792208,59.0,38.0,0.0,0.001,0.0,0.083,13.16,1.0,0.93,0.027,0.0,0.003,0.042,48.0,68.0,0.0,0.02,0.028,0.859,1.0,0.0,0.522,0.01,0.21,18.0,1.0,0.027,0.242,0.0,0.183,0.011,0.001,8.7,13.4,0.092,0.0,0.1,4.0,0.25,33.0,0.015,0.0,1.56,0.0,0.0,0.013,0.041,0.0,0.0,0.5,91.0,0.03,0.022,83.7,0.0,0.9,38.0,0.0,1.0,21.0,0.1,0.0,0.084,0.188,0.019
"Frozen coffee drink, nonfat",Café,1 fl oz,30.8,10.0,3.16,1.9805194805194806,62.0,29.0,0.0,0.0,0.0,0.004,13.23,1.0,0.1,0.026,0.0,0.0,0.017,50.0,61.0,0.0,0.0,0.027,0.862,1.0,0.0,0.037,0.0,0.22,18.0,1.0,0.001,0.017,0.0,0.008,0.012,0.0,8.7,13.41,0.09,0.0,0.0,1.0,0.27,33.0,0.0,0.0,1.59,0.0,0.0,0.0,0.017,0.0,0.0,0.5,95.0,0.03,0.001,84.48,0.0,1.0,29.0,0.0,1.0,22.0,0.0,0.0,0.004,0.008,0.001
"Frozen coffee drink, with non-dairy milk",Café,1 fl oz,30.8,10.0,3.16,1.948051948051948,71.0,16.0,0.0,0.004,0.0,0.001,11.83,0.0,0.8,0.008,0.17,0.029,0.219,17.0,60.0,0.0,0.95,0.006,0.851,2.0,0.0,0.087,0.0,0.1,17.0,2.0,0.0,0.059,0.0,0.359,0.029,0.0,3.5,12.53,0.047,0.0,0.4,0.0,0.17,33.0,0.0,0.0,0.54,0.0,0.0,0.002,0.248,0.0,2.0,0.5,42.0,0.17,0.0,85.85,0.0,0.4,16.0,0.9,2.0,26.0,0.0,0.0,0.015,0.352,0.001
"Frozen coffee drink, with whipped cream",Café,1 fl oz,30.8,10.0,3.09,2.6948051948051948,59.0,53.0,0.0,0.004,0.0,0.259,12.62,1.0,2.77,0.027,0.0,0.01,0.08,49.0,83.0,0.0,0.06,0.028,0.817,1.0,0.0,1.577,0.029,0.21,18.0,1.0,0.082,0.725,0.0,0.563,0.011,0.004,9.2,12.89,0.097,0.0,0.3,9.0,0.24,31.0,0.046,0.0,1.58,0.0,0.0,0.047,0.122,0.001,0.0,0.6,91.0,0.02,0.069,82.34,0.0,1.0,53.0,0.0,1.0,21.0,0.1,0.0,0.249,0.601,0.057
"Frozen coffee drink, nonfat, with whipped cream",Café,1 fl oz,30.8,10.0,3.23,2.4675324675324677,62.0,45.0,0.0,0.003,0.0,0.184,12.69,1.0,1.98,0.026,0.0,0.007,0.055,50.0,76.0,0.0,0.05,0.027,0.819,1.0,0.0,1.117,0.021,0.22,18.0,1.0,0.058,0.512,0.0,0.397,0.011,0.003,9.2,12.9,0.095,0.0,0.2,7.0,0.25,31.0,0.033,0.0,1.61,0.0,0.0,0.035,0.099,0.001,0.0,0.6,95.0,0.02,0.049,83.08,0.0,1.1,45.0,0.0,1.0,22.0,0.1,0.0,0.173,0.431,0.04
"Frozen coffee drink, with non-dairy milk and whipped cream",Café,1 fl oz,30.8,10.0,2.96,2.435064935064935,71.0,33.0,0.0,0.007,0.0,0.181,11.36,0.0,2.64,0.009,0.16,0.034,0.248,19.0,75.0,0.0,0.95,0.007,0.81,2.0,0.0,1.163,0.02,0.11,17.0,2.0,0.057,0.551,0.0,0.729,0.027,0.003,4.2,12.06,0.054,0.0,0.6,5.0,0.16,31.0,0.032,0.0,0.62,0.0,0.0,0.037,0.318,0.001,1.0,0.5,45.0,0.16,0.048,84.38,0.0,0.5,33.0,0.86,2.0,26.0,0.1,0.0,0.183,0.755,0.04
"Frozen coffee drink, decaffeinated",Café,1 fl oz,30.8,10.0,2.93,2.207792207792208,59.0,38.0,0.0,0.001,0.0,0.083,13.23,1.0,0.94,0.027,0.0,0.003,0.042,48.0,68.0,0.0,0.01,0.028,0.837,1.0,0.0,0.525,0.01,0.21,18.0,1.0,0.027,0.243,0.0,0.184,0.011,0.001,8.5,13.46,0.092,0.0,0.1,4.0,0.25,0.0,0.015,0.0,1.56,0.0,0.0,0.013,0.041,0.0,0.0,0.5,91.0,0.02,0.023,83.63,0.0,0.9,38.0,0.0,1.0,21.0,0.1,0.0,0.085,0.189,0.019
"Frozen coffee drink, decaffeinated, nonfat",Café,1 fl oz,30.8,10.0,3.16,1.9805194805194806,62.0,29.0,0.0,0.0,0.0,0.004,13.3,1.0,0.1,0.026,0.0,0.0,0.016,50.0,61.0,0.0,0.0,0.027,0.84,1.0,0.0,0.036,0.0,0.22,18.0,1.0,0.001,0.017,0.0,0.008,0.012,0.0,8.5,13.47,0.089,0.0,0.0,1.0,0.27,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.017,0.0,0.0,0.5,95.0,0.02,0.001,84.41,0.0,1.0,29.0,0.0,1.0,22.0,0.0,0.0,0.004,0.008,0.001
"Frozen coffee drink, decaffeinated, with non-dairy milk",Café,1 fl oz,30.8,10.0,3.17,2.2727272727272725,46.0,26.0,0.0,0.002,0.0,0.002,13.06,0.0,1.0,0.028,0.17,0.073,0.451,32.0,70.0,0.0,0.07,0.025,0.89,9.0,0.0,0.152,0.0,0.15,22.0,9.0,0.0,0.103,0.0,0.184,0.059,0.0,10.6,13.61,0.066,0.0,1.3,0.0,0.17,0.0,0.0,0.0,1.58,0.0,0.0,0.001,0.522,0.0,4.0,0.3,88.0,0.26,0.0,83.45,0.0,0.9,26.0,0.0,9.0,18.0,0.0,0.0,0.032,0.181,0.0
"Frozen coffee drink, decaffeinated, with whipped cream",Café,1 fl oz,30.8,10.0,2.96,2.6948051948051948,59.0,54.0,0.0,0.004,0.0,0.26,12.68,1.0,2.78,0.028,0.0,0.01,0.08,49.0,83.0,0.0,0.06,0.029,0.796,1.0,0.0,1.584,0.03,0.21,17.0,1.0,0.083,0.728,0.0,0.566,0.011,0.004,9.0,12.95,0.097,0.0,0.3,9.0,0.24,0.0,0.046,0.0,1.58,0.0,0.0,0.048,0.122,0.002,0.0,0.6,91.0,0.02,0.07,82.27,0.0,1.0,54.0,0.0,1.0,21.0,0.1,0.0,0.25,0.603,0.057
"Frozen coffee drink, decaffeinated, nonfat, with whipped cream",Café,1 fl oz,30.8,10.0,3.01,2.4675324675324677,62.0,45.0,0.0,0.003,0.0,0.185,12.75,1.0,1.99,0.026,0.0,0.007,0.055,51.0,76.0,0.0,0.05,0.027,0.798,1.0,0.0,1.122,0.021,0.22,17.0,1.0,0.058,0.514,0.0,0.399,0.011,0.003,9.0,12.96,0.094,0.0,0.2,7.0,0.25,0.0,0.033,0.0,1.62,0.0,0.0,0.035,0.099,0.001,0.0,0.6,95.0,0.02,0.049,83.01,0.0,1.1,45.0,0.0,1.0,22.0,0.1,0.0,0.174,0.433,0.04
"Frozen coffee drink, decaffeinated, with non-dairy milk and whipped cream",Café,1 fl oz,30.8,10.0,2.93,2.5974025974025974,58.0,41.0,0.0,0.008,0.0,0.181,12.12,1.0,2.59,0.015,0.37,0.04,0.308,23.0,80.0,0.0,0.1,0.015,0.931,4.0,0.0,1.188,0.02,0.13,19.0,4.0,0.057,0.57,0.0,0.557,0.082,0.003,11.3,12.94,0.118,0.0,1.5,5.0,0.37,0.0,0.032,0.0,1.26,0.0,0.1,0.035,0.471,0.001,0.0,0.6,75.0,0.21,0.048,82.84,0.0,1.2,41.0,0.0,4.0,25.0,0.1,0.0,0.192,0.559,0.039
"Coffee, Cafe Mocha",Café,1 fl oz,30.8,10.0,3.02,2.0779220779220777,96.0,63.0,0.0,0.002,0.0,0.137,9.3,2.0,1.47,0.041,0.0,0.005,0.06,84.0,64.0,0.0,0.02,0.043,0.877,2.0,0.0,0.855,0.016,0.38,25.0,2.0,0.044,0.395,0.0,0.303,0.037,0.002,12.9,10.22,0.133,0.0,0.2,6.0,0.33,33.0,0.024,0.0,2.56,0.0,0.0,0.022,0.058,0.001,0.0,0.8,149.0,0.02,0.037,85.07,0.0,1.5,63.0,0.0,2.0,46.0,0.2,15.0,0.139,0.311,0.031
"Coffee, Cafe Mocha, nonfat",Café,1 fl oz,30.8,10.0,3.16,1.6883116883116882,100.0,48.0,0.0,0.0,0.0,0.006,9.37,2.0,0.09,0.039,0.0,0.0,0.018,87.0,52.0,0.0,0.0,0.041,0.903,2.0,0.0,0.051,0.001,0.4,25.0,2.0,0.002,0.023,0.0,0.013,0.038,0.0,12.8,10.2,0.129,0.0,0.0,2.0,0.35,34.0,0.001,0.0,2.6,0.0,0.0,0.001,0.019,0.0,0.0,0.8,155.0,0.02,0.002,86.41,0.0,1.6,48.0,0.0,2.0,47.0,0.0,15.0,0.007,0.014,0.002
"Coffee, Cafe Mocha, with non-dairy milk",Café,1 fl oz,30.8,10.0,3.09,1.6233766233766234,116.0,27.0,0.0,0.007,0.0,0.002,7.08,0.0,1.24,0.014,0.28,0.048,0.351,33.0,50.0,0.0,1.57,0.01,0.888,4.0,0.0,0.134,0.0,0.21,23.0,4.0,0.0,0.092,0.0,0.59,0.066,0.0,5.6,8.76,0.059,0.0,0.7,0.0,0.28,34.0,0.0,0.0,0.88,0.0,0.1,0.004,0.398,0.0,3.0,0.8,68.0,0.26,0.0,88.65,0.0,0.6,27.0,1.48,4.0,54.0,0.0,15.0,0.025,0.579,0.002
"Coffee, Cafe Mocha, decaffeinated",Café,1 fl oz,30.8,10.0,3.03,2.0779220779220777,96.0,63.0,0.0,0.002,0.0,0.137,9.3,2.0,1.47,0.041,0.0,0.005,0.06,84.0,64.0,0.0,0.02,0.043,0.877,2.0,0.0,0.855,0.016,0.38,25.0,2.0,0.044,0.395,0.0,0.303,0.037,0.002,12.6,10.23,0.133,0.0,0.2,6.0,0.33,2.0,0.024,0.0,2.56,0.0,0.0,0.022,0.058,0.001,0.0,0.8,149.0,0.02,0.037,85.07,0.0,1.5,63.0,0.0,2.0,46.0,0.2,15.0,0.139,0.311,0.031
"Coffee, Cafe Mocha, decaffeinated, nonfat",Café,1 fl oz,30.8,10.0,3.04,1.6883116883116882,100.0,48.0,0.0,0.0,0.0,0.006,9.42,2.0,0.09,0.039,0.0,0.0,0.018,88.0,52.0,0.0,0.0,0.041,0.882,2.0,0.0,0.051,0.001,0.4,25.0,2.0,0.002,0.023,0.0,0.013,0.038,0.0,12.6,10.24,0.129,0.0,0.0,2.0,0.35,2.0,0.001,0.0,2.61,0.0,0.0,0.001,0.018,0.0,0.0,0.8,155.0,0.02,0.002,86.36,0.0,1.7,48.0,0.0,2.0,47.0,0.0,15.0,0.007,0.014,0.002
"Coffee, Cafe Mocha, decaffeinated, with non-dairy milk",Café,1 fl oz,30.8,10.0,2.93,1.6233766233766234,116.0,27.0,0.0,0.007,0.0,0.002,7.12,0.0,1.24,0.014,0.28,0.048,0.353,33.0,50.0,0.0,1.57,0.01,0.866,4.0,0.0,0.134,0.0,0.21,23.0,4.0,0.0,0.093,0.0,0.593,0.066,0.0,5.4,8.8,0.058,0.0,0.7,0.0,0.28,2.0,0.0,0.0,0.88,0.0,0.1,0.004,0.4,0.0,3.0,0.8,68.0,0.26,0.0,88.6,0.0,0.6,27.0,1.49,4.0,54.0,0.0,15.0,0.025,0.582,0.002
Frozen mocha coffee drink,Café,1 fl oz,30.8,10.0,3.02,2.142857142857143,57.0,37.0,0.0,0.001,0.0,0.08,12.17,1.0,0.88,0.027,0.0,0.003,0.041,52.0,66.0,0.0,0.02,0.028,0.849,1.0,0.0,0.507,0.009,0.25,21.0,1.0,0.026,0.234,0.0,0.178,0.039,0.001,8.6,13.07,0.091,0.0,0.1,4.0,0.24,34.0,0.014,0.0,1.51,0.0,0.0,0.013,0.04,0.0,0.0,0.5,99.0,0.02,0.022,84.06,0.0,1.0,37.0,0.0,1.0,34.0,0.1,15.0,0.082,0.182,0.018
"Frozen mocha coffee drink, nonfat",Café,1 fl oz,30.8,10.0,3.13,1.9155844155844155,60.0,28.0,0.0,0.0,0.0,0.004,12.24,1.0,0.08,0.026,0.0,0.0,0.016,54.0,59.0,0.0,0.0,0.027,0.851,1.0,0.0,0.036,0.0,0.26,21.0,1.0,0.001,0.016,0.0,0.008,0.039,0.0,8.6,13.08,0.088,0.0,0.0,1.0,0.26,34.0,0.0,0.0,1.54,0.0,0.0,0.0,0.016,0.0,0.0,0.5,103.0,0.02,0.001,84.82,0.0,1.1,28.0,0.0,1.0,35.0,0.0,15.0,0.004,0.008,0.001
"Frozen mocha coffee drink, with non-dairy milk",Café,1 fl oz,30.8,10.0,3.23,1.883116883116883,69.0,16.0,0.0,0.004,0.0,0.001,10.88,0.0,0.75,0.008,0.17,0.028,0.213,22.0,58.0,0.0,0.92,0.006,0.841,2.0,0.0,0.085,0.0,0.15,20.0,2.0,0.0,0.057,0.0,0.348,0.056,0.0,3.5,12.22,0.047,0.0,0.4,0.0,0.17,33.0,0.0,0.0,0.52,0.0,0.0,0.002,0.24,0.0,2.0,0.4,52.0,0.16,0.0,86.14,0.0,0.5,16.0,0.88,2.0,39.0,0.0,15.0,0.015,0.342,0.001
"Frozen mocha coffee drink, with whipped cream",Café,1 fl oz,30.8,10.0,3.19,2.6298701298701297,57.0,52.0,0.0,0.004,0.0,0.251,11.69,1.0,2.67,0.027,0.0,0.01,0.077,52.0,81.0,0.0,0.06,0.028,0.808,1.0,0.0,1.532,0.029,0.25,20.0,1.0,0.08,0.704,0.0,0.547,0.037,0.004,9.0,12.59,0.096,0.0,0.3,9.0,0.23,32.0,0.045,0.0,1.54,0.0,0.0,0.046,0.118,0.001,0.0,0.5,99.0,0.02,0.067,82.73,0.0,1.1,52.0,0.0,1.0,33.0,0.1,14.0,0.242,0.583,0.055
"Frozen mocha coffee drink, nonfat, with whipped cream",Café,1 fl oz,30.8,10.0,2.93,2.4025974025974026,60.0,44.0,0.0,0.003,0.0,0.179,11.76,1.0,1.91,0.026,0.0,0.007,0.054,54.0,74.0,0.0,0.05,0.027,0.81,1.0,0.0,1.085,0.02,0.26,20.0,1.0,0.057,0.497,0.0,0.386,0.037,0.003,9.0,12.6,0.094,0.0,0.2,7.0,0.24,32.0,0.032,0.0,1.56,0.0,0.0,0.034,0.097,0.001,0.0,0.5,103.0,0.02,0.047,83.44,0.0,1.2,44.0,0.0,1.0,34.0,0.1,14.0,0.168,0.418,0.039
"Frozen mocha coffee drink, with non-dairy milk and whipped cream",Café,1 fl oz,30.8,10.0,3.2,2.37012987012987,69.0,32.0,0.0,0.007,0.0,0.176,10.47,0.0,2.54,0.009,0.16,0.033,0.24,24.0,73.0,0.0,0.92,0.008,0.801,2.0,0.0,1.129,0.02,0.15,20.0,2.0,0.056,0.535,0.0,0.708,0.053,0.003,4.2,11.79,0.054,0.0,0.6,5.0,0.16,32.0,0.031,0.0,0.6,0.0,0.0,0.036,0.309,0.001,2.0,0.5,54.0,0.16,0.047,84.7,0.0,0.6,32.0,0.83,2.0,38.0,0.1,14.0,0.178,0.734,0.038
"Frozen mocha coffee drink, decaffeinated",Café,1 fl oz,30.8,10.0,3.17,2.175324675324675,57.0,37.0,0.0,0.001,0.0,0.081,12.23,1.0,0.89,0.027,0.0,0.003,0.041,52.0,67.0,0.0,0.01,0.028,0.827,1.0,0.0,0.509,0.009,0.25,21.0,1.0,0.026,0.235,0.0,0.178,0.039,0.001,8.3,13.13,0.091,0.0,0.1,4.0,0.24,2.0,0.014,0.0,1.51,0.0,0.0,0.013,0.039,0.0,0.0,0.5,99.0,0.02,0.022,84.0,0.0,1.0,37.0,0.0,1.0,34.0,0.1,15.0,0.082,0.183,0.018
"Frozen mocha coffee drink, decaffeinated, nonfat",Café,1 fl oz,30.8,10.0,3.17,1.9155844155844155,60.0,29.0,0.0,0.0,0.0,0.004,12.3,1.0,0.08,0.026,0.0,0.0,0.016,54.0,59.0,0.0,0.0,0.027,0.83,1.0,0.0,0.035,0.0,0.26,21.0,1.0,0.001,0.016,0.0,0.008,0.039,0.0,8.3,13.14,0.088,0.0,0.0,1.0,0.26,2.0,0.0,0.0,1.54,0.0,0.0,0.0,0.016,0.0,0.0,0.5,103.0,0.02,0.001,84.76,0.0,1.1,29.0,0.0,1.0,35.0,0.0,15.0,0.004,0.008,0.001
"Frozen mocha coffee drink, decaffeinated, with non-dairy milk",Café,1 fl oz,30.8,10.0,3.07,1.883116883116883,70.0,16.0,0.0,0.004,0.0,0.001,10.93,0.0,0.76,0.008,0.17,0.028,0.213,22.0,58.0,0.0,0.93,0.006,0.82,2.0,0.0,0.085,0.0,0.15,20.0,2.0,0.0,0.057,0.0,0.35,0.056,0.0,3.3,12.28,0.047,0.0,0.4,0.0,0.17,2.0,0.0,0.0,0.52,0.0,0.0,0.002,0.241,0.0,2.0,0.5,52.0,0.16,0.0,86.09,0.0,0.5,16.0,0.88,2.0,39.0,0.0,15.0,0.015,0.343,0.001
"Frozen mocha coffee drink, decaffeinated, with whipped cream",Café,1 fl oz,30.8,10.0,3.05,2.6298701298701297,58.0,52.0,0.0,0.004,0.0,0.253,11.74,1.0,2.68,0.027,0.0,0.01,0.077,53.0,81.0,0.0,0.06,0.028,0.788,1.0,0.0,1.539,0.029,0.25,20.0,1.0,0.08,0.707,0.0,0.549,0.037,0.004,8.8,12.64,0.096,0.0,0.3,9.0,0.23,2.0,0.045,0.0,1.54,0.0,0.0,0.046,0.119,0.001,0.0,0.5,99.0,0.02,0.068,82.66,0.0,1.1,52.0,0.0,1.0,33.0,0.1,14.0,0.243,0.586,0.055
"Frozen mocha coffee drink, decaffeinated, nonfat, with whipped cream",Café,1 fl oz,30.8,10.0,3.02,2.4025974025974026,60.0,44.0,0.0,0.003,0.0,0.179,11.81,1.0,1.91,0.026,0.0,0.007,0.054,54.0,74.0,0.0,0.05,0.027,0.79,1.0,0.0,1.09,0.02,0.26,20.0,1.0,0.057,0.499,0.0,0.387,0.037,0.003,8.8,12.65,0.093,0.0,0.2,7.0,0.24,2.0,0.032,0.0,1.57,0.0,0.0,0.034,0.097,0.001,0.0,0.5,103.0,0.02,0.048,83.38,0.0,1.2,44.0,0.0,1.0,34.0,0.1,14.0,0.169,0.42,0.039
"Frozen mocha coffee drink, decaffeinated, with non-dairy milk and whipped cream",Café,1 fl oz,30.8,10.0,2.95,2.37012987012987,69.0,32.0,0.0,0.007,0.0,0.177,10.52,0.0,2.56,0.01,0.16,0.033,0.241,24.0,73.0,0.0,0.93,0.008,0.781,2.0,0.0,1.134,0.02,0.15,19.0,2.0,0.056,0.537,0.0,0.711,0.053,0.003,4.0,11.84,0.054,0.0,0.6,5.0,0.16,2.0,0.031,0.0,0.6,0.0,0.0,0.036,0.31,0.001,2.0,0.5,54.0,0.16,0.047,84.64,0.0,0.6,32.0,0.84,2.0,38.0,0.1,14.0,0.179,0.737,0.039
"Iced Coffee, brewed",Café,1 fl oz,30.8,10.0,3.0,0.032467532467532464,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.011,0.0,0.0,0.001,2.0,1.0,0.0,0.01,0.001,0.146,2.0,0.0,0.002,0.0,0.02,3.0,2.0,0.0,0.002,0.0,0.011,0.004,0.0,2.0,0.0,0.058,0.0,0.1,0.0,0.0,31.0,0.0,0.0,0.09,0.0,0.0,0.0,0.001,0.0,0.0,0.0,38.0,0.01,0.0,99.51,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
